respondent_serial,respondent_id,yearbornin_1_slice,yearbornin_1_slice1,ageofrespondent,indicateage,gender,occstatus,highestlevel,occupationindustry,occupation2,whichauthority,rankmostimptchild_1,rankmostimptchild_2,rankmostimptchild_3,livinginsg_1_slice,livinginsg_2_slice,livinginsg_3_slice,livinginsg_4_slice,vbc,sliderliberty_1_slice,maritialstatus,children,personalincome,hhi,socialnetwork_1_slice,socialnetwork_2_slice,socialnetwork_3_slice,socialnetwork_4_slice,socialnetwork_5_slice,socialnetwork_6_slice,socialnetwork_dp01,socialnetwork_dp02,socialnetwork_dp03,socialnetwork_dp04,socialnetwork_dp05,socialnetwork_dp06,socialnetwork_dp07,socialnetwork_dp08,socialnetwork_dp09,socialnetwork_dp10,ban_age,ban_gender,ban_personal_inc,ban_mhi,ban_q18_q191,ban_q18_q192,ban_q18_q193,ban_q18_q194,ban_occupation_status1,ban_occupation_status2,ban_occupation_status3,ban_occupation_status4,ban_occupation_status5,ban_occupation_status6,ban_occupation_status7,ban_occupation_status8,ban_occupation_status9,ban_occupation_role1,ban_occupation_role2,ban_occupation_role3,ban_occupation_role4,ban_occupation_role5,ban_occupation_role6,ban_occupation_role7,ban_occupation_role8,ban_marital,ban_children1,ban_children2,ban_children3,ban_children4,ban_q28,ban_q30_1,ban_q30_2,ban_q30_3,ban_q30_4,ban_q32,ban_q431,ban_q432,ban_q433,ban_q434,ban_q435,ban_q436,ban_q437,md_segment
730,GEN24_.2328.,1951,70,70,65 years old and above,Female,Employee (working full-time in private sector),Secondary school,Transportation and Storage,"Blue Collar Unskilled (Labourer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,People should have the right to say what they want without being punished for it (or face any consequences),3,Married,Yes,No personal income,"$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,B2B,T2B,T2B,Neutral,No,No,Yes,No,No,No,Yes,Harm_Care
15,GEN24_1001,1983,38,38,35-44 years old,Male,Employee (working full-time in private sector),"University postgraduate (e.g. MA, MSc., MBA, PhD)",Health and Social Services,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,1,2,Agree,Disagree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,"$15,000-$19,999","$20,000-$29,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,High ($8k and above),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,T2B,Neutral,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
18,GEN24_1002,1955,66,66,65 years old and above,Male,Retiree,None or Primary school,Manufacturing,Business owner/ Sole proprietor/ Self-employed,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,No personal income,Prefer not to answer,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,65 yo +,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,Yes,No,No,Yes,No,Harm_Care
23,GEN24_1003,1965,56,56,55-64 years old,Female,Housewife / homemaker,None or Primary school,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,No personal income,"$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Female,Low (below $3k),High ($10k and above),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
24,GEN24_1004,1981,40,40,35-44 years old,Male,Employee (working full-time in private sector),"University postgraduate (e.g. MA, MSc., MBA, PhD)",Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,2,1,Agree,Agree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Married,Yes,"$10,000-$14,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,High ($8k and above),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Married,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
146,GEN24_1006,1974,47,47,45-54 years old,Male,Employee (working full-time in private sector),Secondary school,Other,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Neutral,Neutral,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",Neutral,Neutral,T2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
152,GEN24_1008,1957,64,64,55-64 years old,Female,Employee (working full-time in private sector),None or Primary school,Wholesale and Retail Trade,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$1,000-$1,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
163,GEN24_1011,1966,55,55,55-64 years old,Female,Employee (working full-time in private sector),Secondary school,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",4,Married,Yes,"$4,000-$5,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Female,Medium ($3k to $7.9k),High ($10k and above),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
169,GEN24_1013,1993,28,28,25-34 years old,Male,Employee (working full-time in public service),"University undergraduate (i.e., general/honours degree)",Singapore Public Service/ Government employees,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Disagree,Disagree,Disagree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Single,No,"$4,000-$5,999","$4,000-$5,999",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,B2B,B2B,B2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
178,GEN24_1015,1950,71,71,65 years old and above,Female,Retiree,None or Primary school,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Divorced / Widowed / Separated,Yes,No personal income,No household income,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
408,GEN24_1017,1961,60,60,55-64 years old,Male,Retiree,Secondary school,Health and Social Services,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Disagree,Disagree,Disagree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,No personal income,"$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,55-64 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,B2B,B2B,B2B,Neutral,No,No,Yes,No,No,No,Yes,Fairness_Cheating
409,GEN24_1018,1984,37,37,35-44 years old,Male,Employee (working full-time in private sector),Secondary school,Transportation and Storage,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,No,"$2,000-$2,999","$3,000-$3,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,35-44 yo,Male,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,No,Yes,No,Yes,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,No,Yes,Purity_Degradation
419,GEN24_1020,1955,66,66,65 years old and above,Male,Retiree,None or Primary school,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Neutral,Agree,Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",Neutral,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
428,GEN24_1022,1967,54,54,45-54 years old,Male,Employee (working full-time in private sector),ITE/Vocational Institute,Transportation and Storage,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",1,Married,Yes,"$2,000-$2,999","$2,000-$2,999",Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,45-54 yo,Male,Low (below $3k),Low (below $4k),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,Yes,No,No,No,No,Yes,Harm_Care
494,GEN24_1024,1980,41,41,35-44 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",4,Married,No,"$6,000-$7,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Married,No,Yes,No,Yes,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,Neutral,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
497,GEN24_1025,1956,65,65,65 years old and above,Female,Retiree,None or Primary school,Administrative and Support Service Activities,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Neutral,Neutral,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Low (below $3k),High ($10k and above),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,Neutral,T2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
607,GEN24_1026,1960,61,61,55-64 years old,Male,Employee (working full-time in private sector),None or Primary school,Other Service Activities,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Neutral,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,"$3,000-$3,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,Neutral,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
611,GEN24_1028,1962,59,59,55-64 years old,Female,"Unemployed, for more than 1 week but less than 6 months",None or Primary school,Other Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Neutral,Agree,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Divorced / Widowed / Separated,Yes,No personal income,"$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,Neutral,T2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
613,GEN24_1029,1976,45,45,45-54 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Strongly Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Married,Yes,"$4,000-$5,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
616,GEN24_1030,1994,27,27,25-34 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Single,No,"$4,000-$5,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Loyal_betrayal
696,GEN24_1031,1960,61,61,55-64 years old,Male,Retiree,ITE/Vocational Institute,Manufacturing,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Disagree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,No personal income,"$3,000-$3,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Male,Low (below $3k),Low (below $4k),No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
