respondent_serial,respondent_id,country,yearbornin_1_slice,yearbornin_1_slice1,ageofrespondent,indicateage,gender,occstatus,levelsch,highestlevel,unisch,postgradsch,occupationindustry,occupation2,whichauthority,rankmostimptchild_1,rankmostimptchild_2,rankmostimptchild_3,livinginsg_1_slice,livinginsg_2_slice,livinginsg_3_slice,livinginsg_4_slice,vbc,sliderliberty_1_slice,maritialstatus,children,noofchildren,childage,personalincome,hhi,socialnetwork_1_slice,socialnetwork_2_slice,socialnetwork_3_slice,socialnetwork_4_slice,socialnetwork_5_slice,socialnetwork_6_slice,socialnetwork_dp01,socialnetwork_dp02,socialnetwork_dp03,socialnetwork_dp04,socialnetwork_dp05,socialnetwork_dp06,socialnetwork_dp07,socialnetwork_dp08,socialnetwork_dp09,socialnetwork_dp10,q20_q211,q20_q212,q20_q213,q20_q214,ban_age,ban_gender,ban_personal_inc,ban_mhi,ban_q18_q191,ban_q18_q192,ban_q18_q193,ban_q18_q194,ban_education1,ban_education2,ban_education3,ban_education4,ban_occupation_status1,ban_occupation_status2,ban_occupation_status3,ban_occupation_status4,ban_occupation_status5,ban_occupation_status6,ban_occupation_status7,ban_occupation_status8,ban_occupation_status9,ban_occupation_role1,ban_occupation_role2,ban_occupation_role3,ban_occupation_role4,ban_occupation_role5,ban_occupation_role6,ban_occupation_role7,ban_occupation_role8,ban_marital,ban_children1,ban_children2,ban_children3,ban_children4,ban_no_ofchildren,ban_age_youngest,ban_q28,ban_q30_1,ban_q30_2,ban_q30_3,ban_q30_4,ban_q32,ban_q431,ban_q432,ban_q433,ban_q434,ban_q435,ban_q436,ban_q437,md_segment
1184,GEN24_ 2833,Singapore,1961,60,60,55-64 years old,Female,Housewife / homemaker,-,Secondary school,-,-,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Neutral,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,2,22 years or older,No personal income,"$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,-,-,-,-,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,No,No,Yes,No,-,-,-,-,-,-,-,-,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,T2B,T2B,T2B,Neutral,No,No,Yes,No,No,No,Yes,Loyal_betrayal
730,GEN24_.2328.,Singapore,1951,70,70,65 years old and above,Female,Employee (working full-time in private sector),-,Secondary school,-,-,Transportation and Storage,"Blue Collar Unskilled (Labourer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,People should have the right to say what they want without being punished for it (or face any consequences),3,Married,Yes,3,22 years or older,No personal income,"$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,-,-,-,-,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,B2B,T2B,T2B,Neutral,No,No,Yes,No,No,No,Yes,Harm_Care
15,GEN24_1001,Singapore,1983,38,38,35-44 years old,Male,Employee (working full-time in private sector),-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Local University in Singapore,Health and Social Services,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,1,2,Agree,Disagree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,1,1 to 6 years old,"$15,000-$19,999","$20,000-$29,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,35-44 yo,Male,High ($8k and above),High ($10k and above),No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,1 child,1 to 6 years old,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,T2B,Neutral,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
18,GEN24_1002,Singapore,1955,66,66,65 years old and above,Male,Retiree,-,None or Primary school,-,-,Manufacturing,Business owner/ Sole proprietor/ Self-employed,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,3,22 years or older,No personal income,Prefer not to answer,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Male,Low (below $3k),-,Yes,No,No,No,-,-,-,-,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,Yes,No,No,Yes,No,Harm_Care
23,GEN24_1003,Singapore,1965,56,56,55-64 years old,Female,Housewife / homemaker,-,None or Primary school,-,-,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,3,22 years or older,No personal income,"$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,Low (below $3k),High ($10k and above),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
24,GEN24_1004,Singapore,1981,40,40,35-44 years old,Male,Employee (working full-time in private sector),-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Overseas Institutions outside Singapore,Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,2,1,Agree,Agree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Married,Yes,2,1 to 6 years old,"$10,000-$14,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,35-44 yo,Male,High ($8k and above),-,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,1 to 6 years old,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
30,GEN24_1005,Singapore,1971,50,50,45-54 years old,Female,Employee (working part-time/casual),-,Secondary school,-,-,Accommodation and Food Service Activities,Business owner/ Sole proprietor/ Self-employed,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Agree,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,3,7 to 12 years old,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,45-54 yo,Female,-,-,Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,7 to 12 years old,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,Neutral,Neutral,Neutral,B2B,No,No,No,Yes,No,Yes,No,Harm_Care
146,GEN24_1006,Singapore,1974,47,47,45-54 years old,Male,Employee (working full-time in private sector),-,Secondary school,-,-,Other,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Neutral,Neutral,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,2,1 to 6 years old,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,45-54 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,1 to 6 years old,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",Neutral,Neutral,T2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
148,GEN24_1007,Singapore,1955,66,66,65 years old and above,Female,Housewife / homemaker,-,None or Primary school,-,-,Never worked before,-,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Married,Yes,4,22 years or older,No personal income,"$2,000-$2,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,No,No,Yes,No,-,-,-,-,-,-,-,-,Married,Yes,No,No,No,Net - More than 3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
152,GEN24_1008,Singapore,1957,64,64,55-64 years old,Female,Employee (working full-time in private sector),-,None or Primary school,-,-,Wholesale and Retail Trade,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,1,22 years or older,"$1,000-$1,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,1 child,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
